comparison_mode,comparison_label,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,STEAM_0:1:10843944,M C o Z,1,684.0,6298.0,0.6842105263157895,26.0,38.0,9.796619879690633,3,1100.0,6065.666666666667,1.053763440860215,32.666666666666664,31.0,15.350979206400893,-66.66666666666667,-37.81818181818182,3.830301698082096,-35.06981740064447,-20.408163265306115,22.580645161290324,-36.182443165542566
equal_time,Equal Time,STEAM_0:0:52048434,Danimal,2,949.0,6876.0,1.1333333333333333,25.5,22.5,12.12779552715655,2,813.0,6272.5,0.7272727272727273,16.0,22.0,11.474137322701292,0.0,16.728167281672818,9.621363092865684,55.83333333333333,59.375,2.272727272727273,5.6967960733920435
equal_time,Equal Time,STEAM_0:0:26635064,WaGs-XD-BSU-BW^Ni-rf-[e9]-,0,0,0,0,0,0,0,4,1720.5,6383.0,0.9124087591240876,31.25,34.25,21.23156660702166,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:5107,{GTO}Nomad,4,1164.0,7056.75,1.0083333333333333,30.25,30.0,14.15929203539823,1,522.0,3512.0,1.0909090909090908,12.0,11.0,12.940009915716411,300.0,122.98850574712644,100.93251708428247,-7.56944444444444,152.08333333333334,172.72727272727272,9.422574848269083
equal_time,Equal Time,STEAM_0:1:59994,jamie,0,0,0,0,0,0,0,9,1668.2222222222222,6507.444444444444,1.210144927536232,37.111111111111114,30.666666666666668,20.4047240456096,-100.0,-100.0,-99.99999999999999,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:700333,xanax soldier,0,0,0,0,0,0,0,20,1659.8,8333.85,1.2035398230088497,40.8,33.9,16.608546426981132,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:16295419,arenzi,2,1641.0,7717.0,1.1694915254237288,34.5,29.5,17.53579824748878,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:7258560,SLICK,0,0,0,0,0,0,0,5,1619.0,7963.2,1.2451612903225806,38.6,31.0,16.895911168625158,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:3613037,Cheese,9,1618.4444444444443,9008.222222222223,1.2763975155279503,45.666666666666664,35.77777777777778,15.230029276453367,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:224817525,penes de mierda,0,0,0,0,0,0,0,13,1587.3076923076924,8837.384615384615,1.3729216152019001,44.46153846153846,32.38461538461539,15.226422473269825,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
